id,node_def_id,tab_id,ctrl_id,tab_sequence,ctrl_sequence
1,1,2,1,1,1
2,1,2,2,1,2
3,1,2,3,1,3
4,1,2,4,1,4
5,1,2,5,1,5
6,1,2,6,1,6
7,1,2,7,1,7
8,1,2,8,1,8
9,1,2,9,1,9
10,1,2,10,1,10
11,1,2,11,1,11
12,1,2,12,1,12
13,1,2,13,1,13
14,1,3,197,2,1
15,1,3,198,2,2
16,1,3,199,2,3
17,2,2,14,1,1
18,2,2,15,1,2
19,2,2,16,1,3
20,2,2,17,1,4
21,2,2,18,1,5
22,2,2,19,1,6
23,2,2,20,1,7
24,2,2,21,1,8
25,2,2,22,1,9
26,2,2,23,1,10
27,2,2,24,1,11
28,2,2,25,1,12
29,2,2,26,1,13
30,2,2,27,1,14
31,2,2,28,1,15
32,2,3,197,2,1
33,2,3,198,2,2
34,2,3,199,2,3
35,3,2,29,1,1
36,3,2,30,1,2
37,3,2,31,1,3
38,3,2,32,1,4
39,3,2,33,1,5
40,3,2,34,1,6
41,3,2,35,1,7
42,3,2,36,1,8
43,3,2,37,1,9
44,3,2,38,1,10
45,3,2,39,1,11
46,3,2,40,1,12
47,3,2,41,1,13
48,3,3,197,2,1
49,3,3,198,2,2
50,3,3,199,2,3
51,4,2,42,1,1
52,4,2,43,1,2
53,4,2,44,1,3
54,4,2,45,1,4
55,4,2,46,1,5
56,4,2,47,1,6
57,4,2,48,1,7
58,4,2,49,1,8
59,4,2,50,1,9
60,4,3,197,2,1
61,4,3,198,2,2
62,4,3,199,2,3
63,5,2,51,1,1
64,5,2,52,1,2
65,5,2,53,1,3
66,5,2,54,1,4
67,5,2,55,1,5
68,5,2,56,1,6
69,5,2,57,1,7
70,5,2,58,1,8
71,5,2,59,1,9
72,5,2,60,1,10
73,5,2,61,1,11
74,5,2,62,1,12
75,5,2,63,1,13
76,5,2,64,1,14
77,5,2,65,1,15
78,5,2,66,1,16
79,5,3,197,2,1
80,5,3,198,2,2
81,5,3,199,2,3
82,6,2,67,1,1
83,6,2,68,1,2
84,6,2,69,1,3
85,6,2,70,1,4
86,6,2,71,1,5
87,6,2,72,1,6
88,6,3,197,2,1
89,6,3,198,2,2
90,6,3,199,2,3
91,7,2,73,1,1
92,7,2,74,1,2
93,8,2,75,1,1
94,8,2,76,1,2
95,9,2,77,1,1
96,9,2,78,1,2
97,9,2,79,1,3
98,10,2,80,1,1
99,10,2,81,1,2
100,10,2,82,1,3
101,11,2,83,1,1
102,11,2,84,1,2
103,11,2,85,1,3
104,11,2,86,1,4
105,12,2,87,1,1
106,12,2,88,1,2
107,12,2,89,1,3
108,12,2,90,1,4
109,12,2,91,1,5
110,13,2,92,1,1
111,13,2,93,1,2
112,13,2,94,1,3
113,27,2,95,1,1
114,27,2,96,1,2
115,27,2,97,1,3
116,14,2,98,1,1
117,14,2,99,1,2
118,15,2,100,1,1
119,15,2,101,1,2
120,16,2,102,1,1
121,16,2,103,1,2
122,16,2,104,1,3
123,17,2,105,1,1
124,17,2,106,1,2
125,17,2,107,1,3
126,18,2,108,1,1
127,18,2,109,1,2
128,18,2,110,1,3
129,19,2,111,1,1
130,19,2,112,1,2
131,19,2,113,1,3
132,20,2,114,1,1
133,20,2,115,1,2
134,20,2,116,1,3
135,21,2,117,1,1
136,21,2,118,1,2
137,21,2,119,1,3
138,21,2,120,1,4
139,21,2,121,1,5
140,22,2,122,1,1
141,22,2,123,1,2
142,22,2,124,1,3
143,22,2,125,1,4
144,23,2,126,1,1
145,23,2,127,1,2
146,23,2,128,1,3
147,25,2,129,1,1
148,25,2,130,1,2
149,26,2,131,1,1
150,26,2,132,1,2
151,26,2,133,1,3
152,26,3,197,2,1
153,26,3,198,2,2
154,26,3,199,2,3
155,28,2,134,1,1
156,28,2,135,1,2
157,28,2,136,1,3
158,28,2,137,1,4
159,28,2,138,1,5
160,28,2,139,1,6
161,28,2,140,1,7
162,28,2,141,1,8
163,28,2,142,1,9
164,28,2,143,1,10
165,28,2,144,1,11
166,28,2,145,1,12
167,28,2,146,1,13
168,28,2,147,1,14
169,28,2,148,1,15
170,28,3,197,2,1
171,28,3,198,2,2
172,28,3,199,2,3
173,29,2,149,1,1
174,29,2,150,1,2
175,29,2,151,1,3
176,29,2,152,1,4
177,29,2,153,1,5
178,29,2,154,1,6
179,29,2,155,1,7
180,29,2,156,1,8
181,29,2,157,1,9
182,29,2,158,1,10
183,29,2,159,1,11
184,29,2,160,1,12
185,29,2,161,1,13
186,29,3,197,2,1
187,29,3,198,2,2
188,29,3,199,2,3
189,30,2,162,1,1
190,30,2,163,1,2
191,30,2,164,1,3
192,30,2,165,1,4
193,30,2,166,1,5
194,30,2,167,1,6
195,30,2,168,1,7
196,30,2,169,1,8
197,30,2,170,1,9
198,30,2,171,1,10
199,30,2,172,1,11
200,30,2,173,1,12
201,30,3,197,2,1
202,30,3,198,2,2
203,30,3,199,2,3
204,31,2,174,1,1
205,31,2,175,1,2
206,31,2,176,1,3
207,31,2,177,1,4
208,31,2,178,1,5
209,31,2,179,1,6
210,31,2,180,1,7
211,31,2,181,1,8
212,31,2,182,1,9
213,31,2,183,1,10
214,31,2,184,1,11
215,31,2,185,1,12
216,31,2,186,1,13
217,31,2,187,1,14
218,31,2,188,1,15
219,31,3,197,2,1
220,31,3,198,2,2
221,31,3,199,2,3
222,32,2,189,1,1
223,32,2,190,1,2
224,33,2,191,1,1
225,33,2,192,1,2
226,33,2,193,1,3
227,33,2,194,1,4
228,33,2,195,1,5
229,33,2,196,1,6
